Headword ;Başlık;List 
hyperpigmentation;hiperpigmentasyon;22k
hypostasis;hipostaz;22k
hypothec;ipotek;22k
idiographic;idiografik;22k
ikebana;ikebana;22k
ileus;ileus;22k
imbrication;bindirme;22k
immunochemistry;immünokimya;22k
imprest;damga;22k
inamorata;aşksız;22k
incipit;başlangıç;22k
infanta;bebek;22k
infrasonic;infrasonik;22k
initio;başlangıç;22k
inseam;iç dikiş;22k
inspirit;ilham;22k
isolette;izolasyon;22k
isopach;izopak;22k
isotropy;izotropi;22k
isotype;izotip;22k
istituto;enstitü;22k
jackalope;çakal;22k
jalousie;jaluzi;22k
jerrican;bidon;22k
jetset;jet sosyete;22k
jingo;şaka;22k
joinder;birleştirici;22k
jupiter;Jüpiter;22k
kachina;kaçina;22k
kahuna;Kahuna;22k
kanamycin;kanamisin;22k
kanban;kanban;22k
kauri;kauri;22k
keek;keskin;22k
kelim;kilim;22k
kempt;bakımlı;22k
kenosis;kenosis;22k
kerygma;Kerigma;22k
kilim;kilim;22k
kinescope;kineskop;22k
kir;kır;22k
kirtle;kirtle;22k
kist;öpücük;22k
klatch;mandal;22k
kokanee;kokanee;22k
kopje;kopje;22k
kora;kora;22k
kugel;kugel;22k
kwacha;kvaça;22k
kyat;kyat;22k
lanthanum;lantan;22k
lazarette;lazarette;22k
leatherneck;deri boyunlu;22k
lebensraum;lebensraum;22k
lehr;lehr;22k
leptospirosis;leptospirosis;22k
libri;kitaplık;22k
lief;yalan;22k
lilo;lilo;22k
lithic;taş taş;22k
llano;llano;22k
lobectomy;lobektomi;22k
loganberry;Loganberry;22k
longeron;lonjeron;22k
longjohns;uzun don;22k
longueur;uzun boylu;22k
lucerne;yonca;22k
lugworm;kum kurdu;22k
luminaria;aydınlatma;22k
luvvie;Luvvie;22k
lycanthrope;kurtadam;22k
lycopodium;likopodyum;22k
lymphadenitis;lenfadenit;22k
lys;lys;22k
macrophyte;makrofit;22k
madisonian;Madison'a ait;22k
madrone;madron;22k
magnifico;muhteşem;22k
maguey;maguey;22k
majeure;sebep;22k
makeweight;hafifleme;22k
maki;maki;22k
maleficent;zararlı;22k
mallee;çekiç;22k
mandrake;adamotu;22k
mangonel;mangonel;22k
mangosteen;mangosten;22k
manicotti;manikotti;22k
manics;manikler;22k
manky;manky;22k
mannose;mannoz;22k
mantissa;mantis;22k
manzanita;Manzanita;22k
marabout;marabout;22k
mariposa;maripoz;22k
marsala;marsala;22k
martingale;martingal;22k
mastoiditis;mastoidit;22k
matricide;anne katili;22k
maxillofacial;çene-yüz;22k
mealie;yemekçi;22k
mealworm;un kurdu;22k
medius;orta;22k
meerschaum;lületaşı;22k
megadose;megadoz;22k
melamed;melamlı;22k
melisma;melizma;22k
menhir;menhir;22k
meningeal;meningeal;22k
menorrhagia;menoraji;22k
mensa;mensa;22k
mentis;akıl hastalığı;22k
mephitic;zehirleyici;22k
meristem;meristem;22k
mesne;mesne;22k
meso;mezo;22k
mestiza;melez;22k
metempsychosis;metempsikoz;22k
meticais;meticais;22k
metricate;ölçülü;22k
metroplex;metroplex;22k
metrosexual;metroseksüel;22k
mezuzah;mezuza;22k
microcassette;mikro kaset;22k
micropayment;mikro ödeme;22k
microsphere;mikroküre;22k
mikveh;mikve;22k
milometer;milometre;22k
milquetoast;sütlü ekmek;22k
minatory;minatory;22k
mingy;kirli;22k
minicar;mini araba;22k
minoxidil;minoksidil;22k
miras;miras;22k
mish;miş;22k
mitomycin;mitomisin;22k
mizzen;mizzen;22k
modulo;modulo;22k
moke;şaka;22k
monocotyledon;monokotiledon;22k
monoglot;tek dilli;22k
monopsony;tekelcilik;22k
moonflower;ay çiçeği;22k
moppet;çocuk;22k
moquette;moquette;22k
mora;Mora;22k
mors;mors;22k
mortadella;Mortadella;22k
morts;mortlar;22k
motivic;motive edici;22k
muchacha;çokça;22k
mucopolysaccharide;mukopolisakkarit;22k
mucormycosis;mukormikoz;22k
mudlark;Çamur tarlası;22k
mugshot;sabıka fotoğrafı;22k
mugwort;pelin;22k
muniment;cephane;22k
muscadet;misket;22k
mutandis;mutandis;22k
mutatis;değişiklikler;22k
muumuu;muumuu;22k
naevus;nevus;22k
narcosis;narkoz;22k
narcotrafficker;uyuşturucu kaçakçısı;22k
nare;nare;22k
natterjack;geveze;22k
negritude;zencilik;22k
nellist;nellist;22k
nematic;nematik;22k
neuritis;nevrit;22k
neurodevelopment;nörolojik gelişim;22k
neurofibromatosis;nörofibromatoz;22k
niblick;niblick;22k
nimrod;Nemrut;22k
nitrosamine;nitrozamin;22k
noddle;başını sallamak;22k
noetic;entelektüel;22k
nog;hayır;22k
nolo;hayır;22k
nominative;yalın;22k
nones;hiçbiri;22k
norovirus;norovirüs;22k
novocaine;novokain;22k
nuclide;çekirdek;22k
numan;numan;22k
nutraceutical;nutrasötik;22k
nutriment;besin;22k
obeah;obeah;22k
ocotillo;okotillo;22k
oculus;göz gözü;22k
olefin;olefin;22k
oliguria;oligüri;22k
onchocerciasis;onkoserkiazis;22k
ondansetron;ondansetron;22k
oolong;çok uzun;22k
operon;operon;22k
organon;organon;22k
orgone;orgon;22k
orthostatic;ortostatik;22k
osseous;kemikli;22k
osteotomy;osteotomi;22k
otolith;otolit;22k
ototopical;ototopik;22k
oud;ud;22k
ovine;koyun;22k
oviparous;yumurtlayan;22k
oxyacetylene;oksiasetilen;22k
oxycodone;oksikodon;22k
oyez;oyez;22k
padrone;padrone;22k
pahoehoe;pahoehoe;22k
palazzi;saray;22k
palliasse;ot şilte;22k
pandanus;pandanus;22k
panne;panne;22k
pantechnicon;panteknikon;22k
papaver;gelincik;22k
papillon;papillon;22k
paramecium;terliksi hayvan;22k
parang;parang;22k
parathion;paration;22k
pardoner;bağışlayıcı;22k
parian;dışlanmış;22k
parol;şartlı tahliye;22k
parrotfish;papağan balığı;22k
parsi;Parsi;22k
partita;partita;22k
pash;pasaj;22k
pashmina;şal;22k
passionflower;çarkıfelek;22k
pathognomy;patognomi;22k
patrilineage;baba soyu;22k
patrilocal;ataerkil;22k
patristics;Patristikler;22k
pattens;patentler;22k
peacoat;tavuskuşu;22k
pedalo;deniz bisikleti;22k
pedicab;pedicab;22k
pedicel;sapçık;22k
pedicle;pedikül;22k
pedipalp;pedipalp;22k
peignoir;sabahlık;22k
pekingese;pekinez;22k
pemmican;pemikan;22k
pennon;flama;22k
pentimento;beşlik;22k
pericardial;perikardiyal;22k
perilymph;perilenf;22k
periphrasis;perifraz;22k
petro;petro;22k
petrous;taş gibi;22k
pettifog;dar görüşlü;22k
pharmacotherapy;farmakoterapi;22k
phatic;fiili;22k
phenology;fenoloji;22k
phenyl;fenil;22k
philtre;filtre;22k
phimosis;fimozis;22k
phosgene;fosgen;22k
phytonutrient;bitkisel besin;22k
pianism;piyanizm;22k
piastre;kuruş;22k
picayune;pikayune;22k
piker;turna balığı;22k
pileus;yığın;22k
pima;pima;22k
pinnace;zirve;22k
pinochle;iğne ucu;22k
pinus;çam ağacı;22k
pipefish;boru balığı;22k
plastron;plastron;22k
plexiglas;pleksiglas;22k
pluperfect;çok mükemmel;22k
pluton;plüton;22k
pochard;patka;22k
poesy;şiir;22k
polder;toprak toplayıcı;22k
poltroon;poltroon;22k
poteen;kaçak viski;22k
potentilla;potansiyel;22k
pouffe;puf;22k
poult;palaz;22k
praesidium;Praesidiyum;22k
presbyopia;presbiyopi;22k
prescind;engellemek;22k
prithee;teşekkürler;22k
procaine;prokain;22k
propolis;propolis;22k
prussic;prusya;22k
psephology;psikoloji;22k
psychodynamics;psikodinamik;22k
pulsatile;pulsatil;22k
punctilio;noktacık;22k
punnet;meyve sepeti;22k
purchas;satın almalar;22k
purty;purte;22k
puttee;golf sopası;22k
pyrethrum;piretrum;22k
pyrophosphate;pirofosfat;22k
quagga;bataklık;22k
quaich;bıldırcın;22k
quale;kaliteli;22k
quantile;yüzdelik dilim;22k
quare;kare;22k
quercetin;kuersetin;22k
quern;Kraliçe;22k
quickstep;hızlı adım;22k
quiddity;mahiyet;22k
quirt;quirt;22k
radula;radula;22k
raff;çekiliş;22k
raki;rakı;22k
raku;raku;22k
rambutan;rambutan;22k
ramie;rami;22k
rancheria;çiftlik evi;22k
rarefaction;seyrekleşme;22k
ratbag;sıçan torbası;22k
rath;oldukça;22k
ratu;sıçan;22k
rebarbative;rebarbatif;22k
regnant;hükümdar;22k
renascent;yeniden doğuş;22k
repine;azarlamak;22k
rete;geri dönmek;22k
rheostat;reosta;22k
rhinorrhea;burun akıntısı;22k
ribavirin;ribavirin;22k
riprap;riprap;22k
rissole;köfte;22k
riyal;riyal;22k
rockling;sallanan;22k
roentgen;röntgen;22k
rogation;ipotek;22k
rosebay;gülbay;22k
rouille;rulet;22k
roundhead;yuvarlak kafalı;22k
rozzer;aynasız;22k
rubaiyat;rubaiyat;22k
rubus;kızamık;22k
ruddle;dümen;22k
sabra;sabra;22k
sacristan;kutsal adam;22k
sado;sado;22k
saker;tanrı;22k
salina;tuzlu su;22k
salmonellosis;salmonelloz;22k
salmonid;somon balığı;22k
sana;sana;22k
sapphic;safik;22k
saran;Saran;22k
sasquatch;koca bacaklı;22k
satori;satori;22k
saturnalia;Satürn Bayramı;22k
sayonara;sayonara;22k
scandalmonger;skandalcı;22k
scapegrace;günah keçisi;22k
schlemiel;Schlemiel;22k
schloss;şaka;22k
scilla;scilla;22k
scrump;ağaçtan meyve aşırmak;22k
scumble;kargaşa;22k
scurf;çarpık;22k
selenite;selenit;22k
selva;selva;22k
sensorium;duyu merkezi;22k
septet;yedili;22k
serac;serac;22k
serenata;serenata;22k
seriatim;seriatim;22k
sesquicentennial;yüzüncü yıl dönümü;22k
sestina;Sestina;22k
shallop;arpacık soğanı;22k
shantih;şantih;22k
shigella;Şigella;22k
shirty;gömlekli;22k
shutterbug;fotoğraf meraklısı;22k
siamang;Siamang;22k
sika;sika;22k
siphonophore;sifonofor;22k
sippy;yudumlu;22k
sirrah;efendim;22k
skidoo;kayganlık;22k
slub;şantuk;22k
snood;kurdele;22k
snoot;küçümsemek;22k
socioemotional;sosyo-duygusal;22k
soke;söke;22k
soleus;tekus;22k
solidus;katılaşma;22k
sone;sone;22k
sorbitol;sorbitol;22k
soupcon;çorba konseri;22k
spaghettini;spagettini;22k
spermatophore;spermatofor;22k
spica;başak;22k
spile;istiflemek;22k
spinel;spinel;22k
spink;spin yapmak;22k
spinneret;memecik;22k
spiracle;sivri uçlu;22k
splenectomy;splenektomi;22k
spoonerism;kaşıkçılık;22k
sporophyte;sporofit;22k
sprog;filiz;22k
stalag;stag;22k
stane;stane;22k
steatite;steatit;22k
sternocleidomastoid;sternokleidomastoid;22k
stilton;stilton;22k
stoa;stoa;22k
stollen;çalıntı;22k
stover;ocak;22k
strabismus;şaşılık;22k
strasse;cadde;22k
streptavidin;streptavidin;22k
stridor;gayret;22k
styloid;stiloid;22k
supercenter;süper merkez;22k
supercollider;süper çarpıştırıcı;22k
superfood;süper yiyecek;22k
supermom;süper anne;22k
supernaturalism;doğaüstücülük;22k
superrich;süper zengin;22k
supracondylar;suprakondiler;22k
surcease;ara vermek;22k
susurration;şantaj;22k
swansdown;kuğu aşağı;22k
sweeny;sevimli;22k
symphysis;sempatiz;22k
symphytum;simfitum;22k
synesthesia;sinestezi;22k
synodic;sinodik;22k
syrah;şura;22k
systole;sistol;22k
tabbouleh;tabbouleh;22k
tabu;tabu;22k
tache;takke;22k
tailgater;bagaj kapağı;22k
tamarack;demirhindi;22k
tapa;tapa;22k
tarsus;tarsus;22k
tattie;eski püskü;22k
technophile;teknoloji tutkunu;22k
technophobe;teknofobik;22k
telemedicine;teletıp;22k
telescreen;tele ekran;22k
temporalis;zamansal;22k
tenebrous;kasvetli;22k
tenia;tenya;22k
tenrec;tenrek;22k
tenuis;tenuis;22k
teratogenic;teratojenik;22k
tertian;üçüncül;22k
tet;tet;22k
tetrodotoxin;tetrodotoksin;22k
thermidor;termidor;22k
thermocline;termoklin;22k
thermoelectric;termoelektrik;22k
thermosetting;ısıyla sertleşen;22k
thingummy;zımbırtı;22k
thoracotomy;torakotomi;22k
threnody;şarkı sözü;22k
tiddlywink;Tiddlywink;22k
tightwad;cimri;22k
timbrel;tef;22k
tintype;renk tonu;22k
tippex;tippex;22k
tiptop;tepede;22k
titchy;gergin;22k
titi;titi;22k
tondo;tondo;22k
tonneau;tonoz;22k
tradewind;ticaret rüzgarı;22k
tragicomedy;trajikomedi;22k
transdermal;transdermal;22k
transgenerational;nesiller arası;22k
translocal;yerel ötesi;22k
travois;travois;22k
trichloroacetic;trikloroasetik;22k
trifoliata;üç yapraklı bitki;22k
trine;üçgen;22k
trioxide;trioksit;22k
trivium;trivium;22k
trommel;tambur;22k
tugrik;Tugrik;22k
tunicate;gömlekli;22k
turtledove;kaplumbağa güvercini;22k
twinkie;Twinkie;22k
twinset;ikiz takım;22k
twofer;iki kişilik;22k
tyrosinase;tirozinaz;22k
umbo;ahmak;22k
unitard;tekdüze;22k
uridine;üridin;22k
uxoriousness;karısına aşırı düşkünlük;22k
vair;vair;22k
valse;vals;22k
velocipede;velosiped;22k
vermeil;vermeil;22k
versicolor;çok renkli;22k
vervain;mine çiçeği;22k
vibrio;vibrio;22k
virago;fahişe;22k
vireo;vireo;22k
virgate;bakire;22k
virtu;erdem;22k
visuospatial;görsel-uzaysal;22k
vittles;küçük şeyler;22k
voluptuary;şehvetli;22k
vorticist;girdapçı;22k
voussoir;senet;22k
vulpine;Vulpin;22k
waddy;tuhaf;22k
washy;bulanık;22k
weigela;weigela;22k
whereat;nerede;22k
whippoorwill;kamçı iradesi;22k
widgeon;Widgeon;22k
wiseass;bilge;22k
wodge;kulübe;22k
woosh;woosh;22k
worrywart;endişe verici;22k
wurst;söğüt;22k
wych;neden;22k
xeric;kserik;22k
xerography;kserografi;22k
xtra;ekstra;22k
yellowcake;sarı kek;22k
yellowhammer;sarı çekiç;22k
yeuk;yeuk;22k
yod;yod;22k
yucatecan;Yukatekan;22k
zabaglione;zabaglione;22k
zeitung;zeitung;22k
zenithal;zirve noktası;22k
zoomorphic;zoomorfik;22k
zoster;zoster;22k
zouave;zouave;22k
abettor;yataklık eden;23k
aby;abi;23k
abysm;uçurum;23k
acequia;asequia;23k
acidotic;asitli;23k
ackee;kabul;23k
adenopathy;adenopati;23k
adipic;adipik;23k
aerostat;aerostat;23k
affaires;işler;23k
ageratum;Ageratum;23k
agitato;agitato;23k
agri;tarım;23k
airedale;Airedale;23k
alack;ne yazık ki;23k
algicide;yosun ilacı;23k
aliment;besin;23k
alkalosis;alkaloz;23k
allelopathy;alelopati;23k
allodial;alodial;23k
allogeneic;allojeneik;23k
alphanumerical;alfanümerik;23k
althea;Althea;23k
altho;yine de;23k
amniote;amniyot;23k
amontillado;amontillado;23k
amoroso;aşık;23k
amperage;amperaj;23k
analect;analect;23k
anechoic;yankısız;23k
anergy;enerji;23k
aneurism;anevrizma;23k
angiosarcoma;anjiyosarkom;23k
angostura;angostura;23k
animalcule;hayvancık;23k
annatto;annatto;23k
appaloosa;Appaloosa;23k
appurtenant;yardımcı;23k
aqualung;su akıntısı;23k
aquanaut;su araştırmacısı;23k
aquaplane;deniz uçağı;23k
aquilegia;hasekiküpesi;23k
arborvitae;Mazı ağacı;23k
archaeoastronomy;arkeoastronomi;23k
argillaceous;killi;23k
argy;gösterişli;23k
arsenate;arsenat;23k
artis;sanat eseri;23k
aspergillosis;aspergilloz;23k
assai;assai;23k
assegai;assegai;23k
assumptive;varsayımsal;23k
astroimager;Astrogörüntüleyici;23k
aswirl;dönmek;23k
atactic;ataktik;23k
atraumatic;atravmatik;23k
atrioventricular;atriyoventriküler;23k
attaboy;saldırı çocuğu;23k
attaint;ulaşmak;23k
aurum;Aurum;23k
autoerotic;otoerotik;23k
auxin;oksin;23k
avifauna;kuş faunası;23k
avo;kaçınmak;23k
avulsion;avülsiyon;23k
aweigh;tartmak;23k
awhirl;dönme dolap;23k
azurite;azurit;23k
bacchic;Baküs;23k
bacillary;basiller;23k
bacteriologic;bakteriyolojik;23k
bactrian;Baktriya;23k
ballcock;top horozu;23k
ballista;balista;23k
bandoneon;bandoneon;23k
barbe;dikenli diken;23k
basileus;basileus;23k
bathyal;batiyal;23k
bayberry;defne meyvesi;23k
beaujolais;güzeller güzeli;23k
befog;sisten arındırmak;23k
benomyl;benomil;23k
benzyl;benzil;23k
berceuse;Berceuse;23k
betony;beton;23k
bezique;bezik;23k
bhaji;Bhaji;23k
biaxial;iki eksenli;23k
billycan;billycan;23k
bioactive;biyoaktif;23k
biocentric;biyosentrik;23k
biochip;biyoçip;23k
biogeochemistry;biyojeokimya;23k
bioinformatics;biyoinformatik;23k
bioscope;biyoskop;23k
biotope;biyotop;23k
biowarfare;biyolojik savaş;23k
bipod;iki ayaklı;23k
birretta;Birretta;23k
biserial;iki serili;23k
bistre;bistre;23k
bleb;kabarcık;23k
blenny;blenny;23k
blent;harmanlanmış;23k
bloater;şişirici;23k
bobtail;kısa kuyruk;23k
boletus;çörek;23k
bombazine;bombazin;23k
bonce;hemen;23k
boodle;kan;23k
borane;boran;23k
bota;bota;23k
boulle;top;23k
boutonniere;yaka çiçeği;23k
bowthruster;yay iticisi;23k
brandade;branda;23k
bris;bris;23k
bronchiectasis;bronşektazi;23k
brookie;çaylak;23k
brunet;esmer;23k
buddle;tomurcuk;23k
buffo;manda;23k
bulbul;bülbül;23k
bunco;dolandırmak;23k
calamus;Hint kamışı;23k
calcine;kalsine;23k
calotype;kalotip;23k
camelia;kamelya;23k
campagna;kampanya;23k
campanology;kampanya bilimi;23k
canebrake;kamış freni;23k
cantabile;canlanabilir;23k
capitula;kapitula;23k
caponata;kaponata;23k
caracara;karakara;23k
cardiogram;kardiyogram;23k
carhop;araba tamircisi;23k
carse;araba;23k
cartes;kartlar;23k
caruncle;kıkırdak;23k
caseous;kaslı;23k
catechol;katekol;23k
catena;katena;23k
ceanothus;keanotus;23k
ceftriaxone;seftriakson;23k
celandine;kırlangıçotu;23k
cerebellopontine;serebellopontin;23k
cerement;çimento;23k
cerium;seryum;23k
cerumen;serumen;23k
chaconne;chaconne;23k
chanty;ilahi;23k
chaperonage;refakatçilik;23k
charlady;hizmetçi;23k
cheatgrass;Hile otu;23k
chemic;kimyasal;23k
chicle;çıkık;23k
chicly;şık;23k
chiffonade;şifonat;23k
childe;çocuk;23k
chital;chital;23k
chitlins;kitlinler;23k
cholate;çikolata;23k
chondrosarcoma;kondrosarkom;23k
chroma;renk;23k
chromoly;kromoli;23k
chronometric;kronometrik;23k
chunder;uğultu;23k
cineaste;sinema;23k
cioppino;cioppino;23k
cire;cire;23k
claque;şakşak sesi;23k
clathrate;klatrat;23k
clevis;çatal;23k
climacteric;klimakterik;23k
clivia;Klivia;23k
coati;ceketi;23k
cobia;kobi;23k
cochin;koçin;23k
cocotte;kokot;23k
coff;sandık;23k
cofferdam;batardo;23k
colitic;kolitik;23k
coltsfoot;öksürükotu;23k
compline;şikayet etmek;23k
conatus;conatus;23k
condign;hoşgörü;23k
conniption;bağlantı;23k
conspectus;görüş;23k
consummatory;tamamlayıcı;23k
contador;Condor;23k
conterminous;bitişik;23k
contrariety;zıtlık;23k
contumacy;inatçılık;23k
coper;bakır;23k
coprolite;koprolit;23k
cordgrass;Kordon otu;23k
corneum;korneum;23k
cornu;bereket;23k
coronagraph;koronagraf;23k
coronavirus;korona virüs;23k
coronoid;koronoid;23k
corse;ceset;23k
corundum;korindon;23k
cotes;kulübeler;23k
couchant;kanepede oturan kimse;23k
coumarin;kumarin;23k
cowcatcher;sığır avcısı;23k
crabber;yengeç;23k
crataegus;Krataegus;23k
creedal;inanç;23k
crewel;mürettebat;23k
cribriform;beşik şeklinde;23k
crimplene;kıvrımlı;23k
cromlech;cromlech;23k
crosier;crosier;23k
cruller;kıvırıcı;23k
cruzeiro;Cruzeiro;23k
cryopreservation;kriyoprezervasyon;23k
cubiform;kübik biçimli;23k
cuscus;kuskus;23k
cutworm;kurtçuk;23k
cuvette;küvet;23k
cwm;cwm;23k
cyanotic;siyanotik;23k
dacoit;dacoit;23k
daimon;şeytan;23k
dalek;dalek;23k
daminozide;daminozit;23k
danseuse;dansöz;23k
darnel;Darnel;23k
dashiki;Dashiki;23k
dative;datif;23k
daw;şafak;23k
deaminase;deaminaz;23k
decrescendo;azalan;23k
decretal;ferman;23k
deferent;hürmetkâr;23k
defi;kesinlikle;23k
degass;gazdan arındırmak;23k
dekko;dekko;23k
delftware;delftware;23k
dement;bunaklık;23k
demimonde;demimonde;23k
demit;bırakmak;23k
deplane;uçağı düşürmek;23k
derecho;yankı;23k
dermabrasion;dermabrazyon;23k
detrain;trenden inmek;23k
dewax;balmumunu gidermek;23k
dewberry;böğürtlen;23k
dextral;sağ tarafa ait;23k
diamagnetic;diyamanyetik;23k
dicentra;dicentra;23k
diegesis;öykü;23k
digerati;digerati;23k
digestif;sindirim;23k
digicam;dijital kamera;23k
dihydrotestosterone;dihidrotestosteron;23k
dingus;dingus;23k
diphenhydramine;difenhidramin;23k
diplopia;çift \u200b\u200bgörme;23k
dipshit;salak;23k
dipsomaniac;ikiyüzlü;23k
diptera;çift \u200b\u200bkanatlılar;23k
disarticulation;dezartikülasyon;23k
disbud;tomurcuklarını seyreltmek;23k
discommode;huzursuzluk;23k
disoblige;itaatsizlik etmek;23k
dixieland;Dixieland;23k
djellaba;jellaba;23k
dobra;dobra;23k
dogeared;inatçı;23k
doggo;doggo;23k
doke;aptal;23k
donnybrook;donnybrook;23k
dosseret;dosya;23k
dovey;güvercin;23k
downrigger;indirici;23k
doxorubicin;doksorubisin;23k
draggle;sürüklemek;23k
drugget;uyuşturucu;23k
duenna;düenna;23k
duodecimo;on ikilik;23k
duotone;çift \u200b\u200btonlu;23k
durn;kahretsin;23k
dyno;dinamo;23k
ecotype;ekotip;23k
electromotive;elektromotor;23k
electronystagmography;elektronistagmografi;23k
electrophysiologic;elektrofizyolojik;23k
elytra;elitra;23k
embolus;emboli;23k
embrocation;ilaçla ovma;23k
emmer;emmer;23k
enceinte;enceinte;23k
enjambment;kuşatma;23k
entorhinal;entorhinal;23k
enzymic;enzimatik;23k
eolian;eoliyen;23k
epergne;epergne;23k
epiphenomenal;epifenomenal;23k
ericaceous;erikli;23k
eructation;geğirme;23k
eschar;eskar;23k
escritoire;yazıhane;23k
esparto;Esparto;23k
etat;etat;23k
eth;et;23k
ethno;etnik köken;23k
ethnobotanical;etnobotanik;23k
ethnobotany;etnobotanik;23k
ethnogenesis;etnogenez;23k
etymon;etimon;23k
eucalypt;okaliptüs;23k
europium;europiyum;23k
exedra;eksedra;23k
exequy;icra;23k
exoteric;ekzoterik;23k
extradiegetic;ekstradiegetik;23k
extratextual;metin dışı;23k
falconet;şahin;23k
fane;fane;23k
farina;irmik;23k
fasce;fasce;23k
fatuity;aptallık;23k
felis;felis;23k
feria;feria;23k
fibrocystic;fibrokistik;23k
fid;fid;23k
fiducial;güvene dayalı;23k
filamentary;filamentli;23k
firkin;firkin;23k
firman;ferman;23k
fistic;yumruk;23k
flimflam;flimflam;23k
fluconazole;flukonazol;23k
flummery;titrek;23k
fluorspar;kalsiyum floriti;23k
fluxgate;akış kapısı;23k
flysch;fliş;23k
folderol;klasörol;23k
foliose;yapraklı;23k
fons;fonlar;23k
formate;format;23k
forsooth;kesinlikle;23k
frangible;kırılabilir;23k
frappe;frappe;23k
frass;kabalık;23k
frater;kardeş;23k
freshet;taze;23k
fritillary;fritiller;23k
frosh;donmak;23k
frottage;Frotaj;23k
frowsty;kasvetli;23k
frug;meyve;23k
frutti;meyveli;23k
furbelow;farbala;23k
gabion;gabyon;23k
gaboon;Gabon;23k
gadroon;gadroon;23k
gadzooks;Gadzooks;23k
gainst;kazançlı;23k
galactosemia;galaktozemi;23k
galenic;galenik;23k
ganymede;Ganimede;23k
gazump;gaz tulumu;23k
geiger;geiger;23k
genistein;genistein;23k
geomagnetism;yerçekimi;23k
geta;geta;23k
gibbete;darağacı;23k
gid;gidiş;23k
gink;gink;23k
glom;kasvet;23k
gloriosa;gloriosa;23k
glottic;gırtlaksı;23k
gobbing;yutkunma;23k
gobstopper;iştah açıcı;23k
gogo;git;23k
goldcrest;altın tepe;23k
gonadotrophin;gonadotropin;23k
goniometric;gonyometrik;23k
gooly;yapışkan;23k
gott;var;23k
gourde;kabak;23k
gravamen;ağır adamlar;23k
gravure;gravür;23k
greenheart;yeşil kalpli;23k
grillade;ızgara;23k
gryke;gryke;23k
guarana;guarana;23k
guayabera;Guayabera;23k
gurdy;gurdy;23k
guyot;adam;23k
gweilo;harika;23k
haar;haa;23k
hade;hadi;23k
halothane;halotan;23k
hamza;hamza;23k
hao;Hao;23k
hapten;hapten;23k
hardcase;sert çanta;23k
haredim;haredim;23k
hazan;hazan;23k
heliacal;sarmal;23k
helicon;helikon;23k
helter;yardım;23k
hematologic;hematolojik;23k
hematopoietic;kan yapıcı;23k
hematoxylin;hematoksilen;23k
heme;hem;23k
hemostatic;hemostatik;23k
hepatica;hepatica;23k
herbaria;herbaryum;23k
hexose;heksoz;23k
hib;selam;23k
himation;Himation;23k
histoplasmosis;histoplazmoz;23k
hoagie;hoagie;23k
hoarfrost;kırağı;23k
hognose;domuz gibi;23k
hogweed;yaban otu;23k
hoick;aniden yukarıya döndürmek;23k
homie;dostum;23k
homodiegetic;homodiegetik;23k
hoopster;hoopster;23k
horehound;tazı;23k
hosel;hortum;23k
housebroken;evden ayrılmış;23k
howff;naber;23k
hucks;herif;23k
hurdy;aceleci;23k
hurly;aceleyle;23k
hutong;hutong;23k
hwan;hwan;23k
hybridoma;hibridom;23k
hydric;hidrik;23k
hydrogeologic;hidrojeolojik;23k
hydrophobia;hidrofobi;23k
hydrosphere;hidrosfer;23k
hypercalciuria;hiperkalsiüri;23k
hypercompetitive;aşırı rekabetçi;23k
hyperemia;hiperemi;23k
hyperinflationary;yüksek enflasyonlu;23k
hypertrophied;hipertrofik;23k
hypopharyngeal;hipofaringeal;23k
hypoplasia;hipoplazi;23k
hypostatic;hipostatik;23k
hypothecate;ipotek koymak;23k
iamb;ıamb;23k
icosahedral;ikosahedral;23k
iguanodon;otçul kertenkele;23k
imprimatura;yetki belgesi;23k
incase;durumunda;23k
inclinometer;eğimölçer;23k
incommode;oturma odasında;23k
indo;Hint;23k
indri;Hint;23k
infibulate;infibulasyon;23k
infratemporal;zaman altı;23k
ingoing;giden;23k
injera;enjeksiyon;23k
inro;giriş;23k
inscape;manzara;23k
inulin;inülin;23k
iodized;iyotlu;23k
ipsative;ipsatif;23k
ischium;iskiyum;23k
isobutane;izobütan;23k
isoprene;izopren;23k
jacobus;Jacobus;23k
jarhead;kavanoz kafalı;23k
jerboa;jerboa;23k
jeroboam;yaroboam;23k
jiff;hemen;23k
jillion;milyar;23k
jocose;şakacı;23k
jointure;eklem;23k
jural;hukuki;23k
jutes;jüt;23k
kaffiyeh;kaffiyeh;23k
kalend;kalend;23k
kama;kama;23k
karstic;karstik;23k
kea;kea;23k
keble;keble;23k
keef;keef;23k
keister;kıç;23k
kerogen;kerojen;23k
ketosis;ketozis;23k
kewpie;iğrenç;23k
killick;kilik;23k
kirlian;kirlian;23k
kittle;kedi yavrusu;23k
knapweed;peygamber otu;23k
knop;tokmak;23k
kookaburra;ahmak;23k
koss;koss;23k
kultur;kültür;23k
kummel;kummel;23k
kvetch;kvetch;23k
kylix;kiliks;23k
lach;lah;23k
lagniappe;lagniappe;23k
lancelet;neşter;23k
langlauf;Langlauf;23k
lanner;Lanner;23k
laparoscope;laparoskop;23k
lapin;lapin;23k
laryngectomy;larenjektomi;23k
lateen;latent;23k
laterite;laterit;23k
leal;gerçek;23k
leatherjacket;deri ceket;23k
legco;legco;23k
leukemic;lösemik;23k
levis;levis;23k
